Customer Name,Customer Mail ID,,Date and Time,Server Name,Server EMPID,Customer Age,Dining Preference,Room Preference,Sports Activity,Wellness,Pricing Pattern
Todd Roth,heatheroconnor@hotmail.com,,24-11-2024 10:55,Travis,EMP9515,69,Yes,Standard,No,Spa,Medium
Kathleen Smith,morgan33@wilkinson-lopez.com,,09-12-2024 20:05,Lisa,EMP3909,41,Yes,Suite,Yes,Spa,Low
Laura Ibarra,tamara48@gmail.com,,24-02-2024 13:27,James,EMP8612,41,No,Deluxe,No,Spa,Medium
Elizabeth Brown,kennethvelazquez@pham.com,,16-11-2024 03:10,Joseph,EMP1376,68,No,Standard,Yes,Pool,High
Kelsey Ramirez DDS,awalters@hotmail.com,,16-11-2024 09:21,Sonya,EMP2745,78,Yes,Standard,Yes,Spa,Low
William Brown,tracymullins@wright.com,,13-11-2024 07:21,Ashley,EMP8590,64,Yes,Deluxe,No,Gym,High
Amanda Walker,williamsmichael@yahoo.com,,08-09-2024 13:08,Regina,EMP4336,70,Yes,Standard,Yes,Pool,Low
Tracy Dunlap,jonathanwatkins@salinas.com,,04-12-2024 02:23,Kelly,EMP7083,73,Yes,Standard,No,Gym,Medium
Nancy Donaldson,james62@liu.biz,,17-03-2024 02:47,William,EMP6619,70,Yes,Standard,No,Gym,High
Phillip Gross,jonathanmathews@hotmail.com,,23-12-2023 18:48,Raymond,EMP8311,43,Yes,Deluxe,No,Spa,Medium
Laurie Jones,andrewjenkins@gmail.com,,31-07-2024 23:22,Sarah,EMP9829,26,Yes,Suite,No,Gym,High
Elizabeth Oneill,andreamccormick@hotmail.com,,18-09-2024 15:59,Gregory,EMP6608,72,Yes,Deluxe,Yes,Pool,Medium
John Evans,oprice@yahoo.com,,28-03-2024 10:34,Joshua,EMP4647,36,No,Standard,Yes,Spa,Medium
Colin Rich,gonzalesmiguel@yahoo.com,,20-01-2024 17:45,Natasha,EMP7568,42,No,Standard,Yes,Spa,High
Rebecca Jones,haley61@lin.org,,06-03-2024 15:34,Alexander,EMP2662,53,No,Standard,No,Gym,Low
Mrs. Melissa Valencia PhD,andreabrooks@middleton.info,,10-12-2024 01:11,Wesley,EMP4622,73,No,Suite,Yes,Spa,High
Mr. Richard Hines,kevin74@yahoo.com,,25-04-2024 08:38,Manuel,EMP7302,57,No,Deluxe,Yes,Pool,Low
Jenny Smith,nmendoza@gmail.com,,09-03-2024 03:59,Martha,EMP2772,45,No,Deluxe,No,Gym,Low
Cory Weber,calvarez@yahoo.com,,30-09-2024 03:35,Dustin,EMP5707,75,No,Standard,No,Pool,High
Mark Stevens,cody40@lee.com,,21-08-2024 07:48,Elizabeth,EMP7469,76,Yes,Suite,No,Spa,Low
Brett Lopez,tyler65@gmail.com,,13-12-2024 22:05,Hannah,EMP6349,22,Yes,Standard,Yes,Pool,High
Alicia Shah,kyleburns@thomas.com,,18-09-2024 23:02,Melissa,EMP9792,46,Yes,Deluxe,Yes,Pool,High
Gregory Valdez,ronald69@bell.com,,03-06-2024 15:29,Alyssa,EMP5693,53,No,Deluxe,Yes,Gym,Medium
Alexis Jackson DDS,evansjulia@yahoo.com,,14-02-2024 00:40,Miguel,EMP2630,58,Yes,Deluxe,Yes,Pool,Medium
Jeffrey Hess,bwashington@hotmail.com,,20-08-2024 00:07,Justin,EMP4910,48,No,Suite,Yes,Gym,High
Stephen Joyce,dbarton@hotmail.com,,26-02-2024 03:59,Wesley,EMP4620,44,Yes,Deluxe,Yes,Gym,Medium
Sean Rivera,eric84@yahoo.com,,20-10-2024 13:52,Anthony,EMP4414,44,Yes,Deluxe,No,Gym,High
Edwin Hughes,jenningsisabel@yahoo.com,,12-05-2024 21:03,Joshua,EMP3195,75,No,Deluxe,Yes,Spa,High
Alan Morales,christine87@yahoo.com,,24-01-2024 05:28,Amanda,EMP3001,78,Yes,Suite,No,Gym,Low
Beverly Meyer,kathryn60@hotmail.com,,09-10-2024 03:36,Raymond,EMP7017,75,Yes,Suite,No,Spa,Medium
Angela Moore,nelsonandrew@brown-salas.info,,11-12-2024 17:36,Bradley,EMP1532,46,No,Suite,Yes,Spa,High
Wesley Wood,amanda38@hernandez.biz,,09-04-2024 00:05,Stephanie,EMP1201,43,Yes,Deluxe,Yes,Pool,Medium
Joshua Snyder,flynntyler@chapman.biz,,06-11-2024 22:50,Jose,EMP9480,40,Yes,Standard,No,Gym,Low
Sierra Wright,brucechristopher@king.biz,,13-08-2024 03:36,Keith,EMP8770,18,Yes,Deluxe,No,Gym,Low
Eric Wallace,bhenry@gmail.com,,26-01-2024 17:46,Kristen,EMP8971,50,Yes,Deluxe,No,Gym,Low
Christy Moreno,frodgers@yahoo.com,,29-11-2024 02:41,James,EMP8010,77,No,Suite,Yes,Gym,Low
Kristen Hill,vjohnson@taylor-riley.com,,25-06-2024 00:36,Nancy,EMP4681,54,No,Deluxe,No,Pool,Low
Eric Steele,fmeyer@mclean.com,,04-12-2024 05:18,Alyssa,EMP9076,45,Yes,Standard,Yes,Pool,Low
Jodi Lee,acordova@mckenzie-preston.org,,12-08-2024 08:48,Carl,EMP3165,73,No,Deluxe,Yes,Pool,High
Caitlin Gonzalez,lauren99@gmail.com,,11-06-2024 04:26,Jason,EMP6623,65,No,Suite,No,Gym,Medium
Shari Jackson,karen99@hotmail.com,,07-12-2024 10:08,Randy,EMP3826,32,Yes,Deluxe,No,Gym,Low
Dr. Andrew Baldwin,prestontaylor@hotmail.com,,23-10-2024 11:34,Heather,EMP9191,64,Yes,Suite,No,Gym,Medium
Megan Nelson,tammythomas@yahoo.com,,05-02-2024 00:10,Melanie,EMP8523,19,No,Deluxe,No,Spa,Medium
Juan Berry,timothygarcia@yahoo.com,,01-07-2024 15:00,Maria,EMP2965,34,Yes,Deluxe,No,Gym,Medium
Angela Torres,kevin48@hernandez-clark.com,,30-09-2024 12:21,Erica,EMP1168,28,No,Standard,Yes,Spa,High
Alexis Greene,stephanie27@hotmail.com,,07-01-2024 12:12,Tommy,EMP9060,51,Yes,Deluxe,No,Pool,Low
Jennifer Green,greenalicia@yahoo.com,,31-12-2023 09:14,Jessica,EMP6342,58,Yes,Standard,Yes,Gym,High
Stacey Carroll,floresmichelle@gmail.com,,12-03-2024 13:30,Mary,EMP3051,38,Yes,Deluxe,No,Spa,High
Jeffrey Thompson,andersonkimberly@gmail.com,,30-05-2024 14:14,Paul,EMP9426,79,No,Standard,Yes,Gym,Low
Timothy Anderson,ericwyatt@yahoo.com,,03-08-2024 13:04,Melissa,EMP8949,33,No,Suite,Yes,Gym,High
Henry Spencer,william52@hotmail.com,,04-07-2024 17:39,Laura,EMP3570,73,Yes,Deluxe,No,Spa,High
Maria Lewis,mday@garrett.info,,15-11-2024 22:26,Jon,EMP4595,77,No,Suite,No,Pool,Low
Ryan Harrison,josephgutierrez@gmail.com,,05-04-2024 21:21,Keith,EMP2849,22,Yes,Standard,No,Pool,High
Andrew Townsend,johnsonlindsey@hotmail.com,,11-12-2024 08:34,Melissa,EMP6046,39,Yes,Suite,Yes,Pool,High
Michael Johnson,debbieclements@russell.com,,28-06-2024 00:52,Mallory,EMP3130,45,Yes,Suite,Yes,Pool,Low
Ronald Williams Jr.,yjuarez@bush.com,,04-11-2024 22:05,Jeffrey,EMP4414,56,Yes,Suite,No,Gym,Medium
Christine Cooper,shaffertimothy@yahoo.com,,08-03-2024 06:09,Melanie,EMP5166,28,Yes,Deluxe,Yes,Pool,Medium
Robert Young,carolcruz@wilson-nguyen.org,,03-04-2024 18:55,Sophia,EMP3687,43,No,Suite,Yes,Spa,Medium
Michael Hopkins,lduran@hotmail.com,,13-08-2024 16:09,Clinton,EMP9121,44,No,Standard,No,Spa,High
Lori Lara,prestonmisty@yahoo.com,,13-05-2024 15:01,Richard,EMP9588,57,No,Standard,Yes,Spa,Medium
Alyssa Schroeder,yvonnepreston@griffin-miller.org,,13-01-2024 13:09,Kayla,EMP6235,67,Yes,Standard,No,Spa,Medium
Tyler Odonnell,danielle52@avila-yates.com,,14-02-2024 12:23,Tina,EMP9559,36,Yes,Deluxe,Yes,Pool,Medium
Madeline Nicholson,margaret06@hotmail.com,,21-07-2024 08:52,Austin,EMP1307,41,No,Deluxe,Yes,Spa,Low
Alexis Richardson,scottfrench@jackson.com,,19-02-2024 22:24,Phillip,EMP5962,55,Yes,Suite,No,Gym,Low
Jasmine King,alexander31@valencia.com,,19-11-2024 05:24,Joanne,EMP5257,77,No,Suite,No,Spa,Low
Mary Conner,jessicamills@gmail.com,,09-03-2024 21:15,Steven,EMP1259,63,No,Deluxe,No,Spa,Medium
Nicole Smith,brownmary@yahoo.com,,27-09-2024 01:33,Felicia,EMP1651,67,No,Standard,No,Spa,Low
Joseph Farmer,timothymatthews@gmail.com,,07-03-2024 15:13,Jesse,EMP2211,44,No,Standard,Yes,Spa,High
Stephanie Castro,uhopkins@tate.net,,21-08-2024 05:14,Erik,EMP4493,38,No,Suite,Yes,Spa,Low
James Walters,taylormegan@yahoo.com,,04-02-2024 03:15,Adam,EMP7532,41,No,Suite,Yes,Spa,Medium
Kimberly Shaw,cburton@mcclain.com,,14-08-2024 09:54,Thomas,EMP9166,63,Yes,Suite,No,Pool,High
Michael Eaton,david57@acosta.com,,27-08-2024 04:26,Lisa,EMP6203,25,No,Deluxe,No,Spa,Medium
Amber Mcfarland,kevin72@frazier.com,,17-10-2024 01:48,Evelyn,EMP3596,66,Yes,Suite,No,Gym,High
Regina Edwards,uburke@montgomery.com,,15-05-2024 16:26,David,EMP3367,70,No,Standard,Yes,Gym,Low
Michael Hinton,tyler69@yahoo.com,,28-12-2023 20:27,Shannon,EMP8937,58,Yes,Suite,Yes,Gym,Medium
Janice Chase,rachel07@gmail.com,,24-05-2024 05:34,Bethany,EMP8652,44,No,Suite,Yes,Gym,High
Thomas Reid,vargaslisa@henry-wright.com,,14-10-2024 17:50,Carol,EMP7752,43,No,Standard,Yes,Spa,Medium
Carl Hamilton,felicialewis@hotmail.com,,18-06-2024 06:25,Joshua,EMP4605,42,Yes,Deluxe,No,Gym,Low
Anthony Jackson,asanford@mcguire-hernandez.com,,02-01-2024 18:09,Amy,EMP6703,58,No,Standard,Yes,Gym,Low
Katherine Hanson,ernest09@yahoo.com,,22-01-2024 09:24,Carly,EMP5794,79,No,Suite,No,Pool,High
Nicholas Dunn,davidhenderson@yahoo.com,,10-06-2024 16:45,Kara,EMP9938,20,Yes,Standard,Yes,Spa,High
Tony Benitez,amy07@yahoo.com,,13-06-2024 04:32,Jason,EMP8481,62,No,Deluxe,Yes,Gym,High
Heather Andrews,cassidysmith@yahoo.com,,15-05-2024 20:39,Morgan,EMP8185,34,No,Deluxe,Yes,Pool,Medium
Mary Schmidt,hjohnston@gmail.com,,23-10-2024 22:37,Amanda,EMP2703,64,No,Deluxe,No,Pool,Low
Angela Wagner,zmatthews@johnson.com,,21-07-2024 08:23,Stephanie,EMP1880,37,Yes,Deluxe,Yes,Gym,Low
Carla Webb,teresa80@hotmail.com,,08-03-2024 08:49,Shane,EMP8219,30,Yes,Deluxe,No,Gym,Medium
Patrick Rush,jennifer06@johnson-woods.org,,12-10-2024 02:09,Sarah,EMP5255,77,No,Deluxe,Yes,Spa,High
Lisa Brown,ahowell@hotmail.com,,05-12-2024 17:10,Kevin,EMP9257,35,No,Standard,No,Spa,Low
Tyler Johnson,sarahlewis@vargas.org,,18-01-2024 05:53,Elizabeth,EMP7970,30,No,Suite,Yes,Spa,High
Michael Williams,lewissylvia@cooley-buck.com,,27-10-2024 08:23,Kelly,EMP6015,37,Yes,Standard,No,Spa,High
Scott Weaver,teresa06@stanley.net,,01-09-2024 22:46,Jonathan,EMP8594,67,No,Deluxe,Yes,Gym,Low
Beth Turner,stephenrhodes@wright.com,,25-01-2024 15:02,Monica,EMP6479,71,No,Standard,Yes,Pool,Low
Douglas Beck,rsanders@fernandez.com,,19-11-2024 00:56,Donna,EMP2910,78,No,Deluxe,No,Gym,High
Roger Woodward,haley58@fry.com,,10-02-2024 21:43,Timothy,EMP4702,61,Yes,Standard,Yes,Gym,Low
David Oliver,shanewolfe@gmail.com,,15-04-2024 06:07,Frederick,EMP7796,32,Yes,Deluxe,No,Gym,High
Ethan Maxwell,pattersonashley@munoz.net,,19-12-2023 19:42,Margaret,EMP1343,24,Yes,Deluxe,No,Gym,Medium
Joan Watts,gaineseugene@yahoo.com,,26-11-2024 13:37,Sarah,EMP6542,32,Yes,Standard,Yes,Spa,Medium
Candice Smith,daniellefranklin@gmail.com,,29-09-2024 05:41,David,EMP2728,72,No,Standard,No,Pool,High
Susan Tran,sschmitt@hart.com,,10-09-2024 01:42,Lauren,EMP7790,41,Yes,Standard,No,Pool,High
Allison Smith,jennifer27@mitchell.com,,13-07-2024 12:08,Wendy,EMP7299,53,Yes,Standard,No,Gym,High
Jeremy Davis,karen39@rodriguez.org,,05-06-2024 16:37,Joseph,EMP3867,74,Yes,Deluxe,Yes,Pool,Low
Randall Francis,morganluke@wilson.com,,31-01-2024 18:43,Ryan,EMP5010,51,No,Suite,Yes,Spa,High
Nicole Cook,ginagrant@gmail.com,,12-08-2024 09:11,Raymond,EMP5099,50,Yes,Deluxe,No,Pool,High
Sarah Prince DVM,jacquelinemoore@gmail.com,,09-01-2024 02:15,Donald,EMP4435,46,No,Deluxe,No,Pool,Medium
Charles Cruz,grace39@curtis.com,,29-12-2023 14:03,Alexandra,EMP5766,78,No,Suite,No,Pool,Low
Rebecca Burns,bmassey@hotmail.com,,22-11-2024 03:31,Jeremy,EMP2775,43,No,Deluxe,No,Gym,Medium
Justin Hobbs,claytonwillie@davis.com,,07-12-2024 01:49,Bradley,EMP8427,23,No,Standard,No,Pool,Low
Todd Carpenter,edward99@oconnor.org,,02-07-2024 00:48,Jesse,EMP8441,41,No,Deluxe,Yes,Pool,High
Matthew Burke,curtispayne@gmail.com,,23-04-2024 01:13,Sherri,EMP2267,33,Yes,Standard,No,Spa,High
Elijah Harris,karenlucas@colon-taylor.info,,12-07-2024 18:55,Amy,EMP3362,80,No,Standard,No,Spa,High
Jack Powell,paul32@yahoo.com,,11-08-2024 01:01,Brooke,EMP4672,50,Yes,Suite,Yes,Gym,Medium
Terry Williams,nwalker@gmail.com,,29-07-2024 14:52,Brittany,EMP2275,64,Yes,Standard,Yes,Gym,Medium
Gregory Mendoza,bmarshall@marshall.com,,28-06-2024 13:14,Paul,EMP2060,57,No,Standard,Yes,Pool,High
James Walsh,crystalwilkerson@lopez.net,,22-07-2024 06:39,Daniel,EMP3023,76,Yes,Suite,Yes,Pool,Medium
Shawn Bradley,lindseychristopher@gmail.com,,17-07-2024 20:20,Dean,EMP1735,48,Yes,Deluxe,No,Spa,Low
Scott Morris,pameladuke@morris-wilson.com,,31-01-2024 19:47,Cassandra,EMP2452,36,No,Suite,No,Gym,Medium
Luis Shaw DVM,lgarcia@hotmail.com,,21-01-2024 22:59,Mark,EMP7034,52,Yes,Standard,No,Gym,High
Catherine Avila,zromero@yahoo.com,,04-09-2024 23:42,Jonathon,EMP4060,48,Yes,Suite,Yes,Spa,High
Daniel Johnson,gallowayamy@hotmail.com,,21-10-2024 06:47,Deborah,EMP1660,55,No,Suite,Yes,Gym,Medium
Jonathan Munoz,scott30@yahoo.com,,31-03-2024 09:56,Michael,EMP8531,48,No,Deluxe,No,Spa,Medium
Jason Thomas,jessicaray@nielsen.info,,14-10-2024 01:14,Maureen,EMP3641,73,Yes,Deluxe,No,Gym,Medium
Brittany Wells,adavenport@sherman.info,,05-12-2024 12:24,Robert,EMP3062,18,No,Deluxe,No,Gym,High
Joseph Harper,kennethwalsh@green.com,,25-06-2024 20:29,Victoria,EMP1547,74,No,Deluxe,No,Pool,High
Alexis Watson,richardcohen@miller-cooper.com,,06-09-2024 10:19,Jeremiah,EMP8893,68,Yes,Suite,Yes,Gym,High
Jerry Silva,zshea@yahoo.com,,02-05-2024 01:20,Traci,EMP9401,28,No,Deluxe,Yes,Pool,Medium
Becky Smith,gail98@rodriguez.com,,14-04-2024 03:02,Justin,EMP9161,54,No,Deluxe,Yes,Gym,High
Shelby Long,yolanda49@yahoo.com,,06-05-2024 13:27,Shannon,EMP1581,55,No,Standard,No,Pool,Low
Matthew Hopkins,sheltontroy@brown-roman.com,,20-04-2024 10:52,Joseph,EMP9017,34,Yes,Standard,No,Gym,Low
Anna Boyer,rickyclay@floyd.com,,07-03-2024 22:47,Jennifer,EMP2455,59,No,Suite,No,Spa,Medium
Lindsey Jackson,kliu@yahoo.com,,31-03-2024 21:06,Christopher,EMP8529,72,Yes,Standard,Yes,Gym,Medium
Heather Hale,dakotahendricks@lee.com,,26-01-2024 11:51,Timothy,EMP9709,21,Yes,Suite,Yes,Gym,Medium
Mallory Schwartz,justinfletcher@moore.com,,07-11-2024 15:42,Leslie,EMP6800,26,No,Deluxe,No,Gym,Low
Monica Martin,driley@collins.biz,,20-07-2024 09:44,Sheena,EMP5557,55,No,Suite,Yes,Gym,Medium
David Davis,williamscody@vargas-patton.org,,13-04-2024 04:43,Justin,EMP9564,31,Yes,Standard,No,Pool,Medium
Jesse Taylor,cody32@gmail.com,,16-05-2024 01:21,Andrew,EMP3176,58,Yes,Standard,Yes,Gym,Medium
Jenna Wolf,zpoole@hotmail.com,,21-01-2024 01:25,Pamela,EMP8241,32,Yes,Suite,No,Pool,Low
Audrey Graves,wallen@hotmail.com,,26-10-2024 15:44,Timothy,EMP2387,61,Yes,Suite,No,Gym,Medium
Tracey Santiago,ewoods@weeks.com,,22-11-2024 00:07,Suzanne,EMP9588,56,Yes,Suite,No,Spa,Medium
Christopher Brown,nchandler@gmail.com,,10-01-2024 21:00,Dana,EMP7603,57,No,Standard,No,Spa,Low
Steven Michael,charlescowan@byrd-stanley.com,,19-11-2024 03:35,Jennifer,EMP4713,45,No,Deluxe,No,Gym,High
Kristen Arnold,oparker@wood.com,,07-10-2024 14:48,Juan,EMP3736,41,Yes,Suite,No,Pool,Medium
David Roberts,oroberts@gmail.com,,27-07-2024 07:34,Kelly,EMP2681,18,Yes,Suite,No,Spa,Medium
Amber Simmons,charles27@hotmail.com,,26-10-2024 20:22,Jill,EMP1189,26,Yes,Deluxe,No,Spa,Medium
Tyler Stevenson,bennettcarl@gmail.com,,17-12-2024 09:44,Tina,EMP1241,69,Yes,Standard,Yes,Spa,High
James Hansen,brownelizabeth@skinner.biz,,15-01-2024 06:57,Kathryn,EMP2018,40,No,Standard,No,Pool,Medium
Alicia Hill,amanda74@raymond-munoz.com,,19-01-2024 10:51,Amy,EMP4250,47,Yes,Standard,Yes,Pool,Medium
Daniel Tucker,carolinemoore@yahoo.com,,09-05-2024 17:16,James,EMP7896,70,No,Standard,Yes,Spa,Low
Michael Snow,williamseric@evans.org,,28-09-2024 23:47,Howard,EMP5053,48,No,Standard,Yes,Gym,Low
Veronica Wagner,pgarcia@hotmail.com,,30-12-2023 13:21,Amy,EMP3777,43,Yes,Suite,No,Gym,High
Christine Turner,erikray@hotmail.com,,18-06-2024 16:10,Michael,EMP4242,50,Yes,Suite,No,Spa,Medium
Peter Williamson,fostertonya@gmail.com,,06-04-2024 02:20,Timothy,EMP2010,26,Yes,Deluxe,No,Pool,High
Sandy Contreras,aaron88@guzman.com,,28-11-2024 21:40,Michael,EMP6518,32,Yes,Standard,Yes,Pool,Medium
John Murray,johnsonchristopher@hotmail.com,,14-05-2024 00:17,Linda,EMP4113,54,No,Deluxe,No,Spa,High
Michael Allen,gonzaleznicholas@taylor.com,,28-02-2024 15:30,Mark,EMP5591,63,Yes,Standard,No,Pool,High
Jonathan Chan,cindy15@gmail.com,,24-12-2023 07:05,William,EMP7359,70,No,Deluxe,No,Spa,Medium
Daniel Herring,xfletcher@hotmail.com,,05-03-2024 07:04,Jasmine,EMP3086,73,No,Deluxe,Yes,Pool,High
Charles Ferguson,kayla33@hotmail.com,,22-12-2023 20:35,Lauren,EMP6648,18,No,Standard,No,Spa,Low
Miss Leslie Scott,conradtasha@sanders.biz,,02-09-2024 18:01,Dawn,EMP5160,78,Yes,Deluxe,Yes,Pool,Medium
William Cabrera,lbest@yahoo.com,,07-10-2024 05:01,Heather,EMP6356,44,Yes,Deluxe,No,Spa,Medium
Scott Swanson,kennethhaynes@rivera-wallace.com,,13-08-2024 21:37,Brandon,EMP4320,35,No,Deluxe,No,Gym,Low
Jordan Mckenzie,kimberly20@riley-padilla.info,,20-01-2024 14:18,Wendy,EMP4378,32,No,Deluxe,No,Spa,High
Eric Lewis,jonessherry@hotmail.com,,21-01-2024 07:37,Levi,EMP2379,22,No,Standard,Yes,Spa,Low
William Wiggins,cesar49@gmail.com,,15-03-2024 17:25,Cindy,EMP7254,45,No,Deluxe,Yes,Gym,High
Ashley Scott,hayeskimberly@hotmail.com,,22-11-2024 23:36,Taylor,EMP2966,67,No,Suite,Yes,Gym,High
Brian Nunez,brianbutler@howell-miles.biz,,04-08-2024 12:43,Matthew,EMP3526,72,No,Standard,Yes,Spa,Medium
Abigail Hamilton,sserrano@taylor.net,,10-01-2024 14:20,Kimberly,EMP4650,28,Yes,Deluxe,Yes,Gym,High
Bianca Kerr,miranda28@hotmail.com,,16-03-2024 22:10,Tasha,EMP2736,42,Yes,Suite,Yes,Pool,High
Michael Berry,jacobwilliams@gmail.com,,07-11-2024 14:22,Carlos,EMP5833,80,No,Suite,Yes,Spa,Medium
Stacy Lewis,dominique63@yahoo.com,,29-10-2024 17:39,Joseph,EMP9446,79,No,Deluxe,No,Pool,Low
Michael Rodriguez,sethweaver@morales.org,,23-03-2024 04:15,Justin,EMP6125,44,No,Standard,No,Pool,High
Keith Glover,sabrina33@rhodes.com,,05-11-2024 07:48,Kristen,EMP8114,38,Yes,Suite,Yes,Pool,Medium
Connie Taylor,terrigordon@gmail.com,,15-09-2024 13:02,Matthew,EMP5289,28,Yes,Suite,No,Gym,Medium
Susan Clark,donnavelez@ross.com,,07-01-2024 19:37,Melissa,EMP5573,46,Yes,Suite,Yes,Pool,Low
Erin Stone,robertking@gilbert.net,,18-05-2024 16:22,David,EMP4481,63,No,Deluxe,No,Gym,High
Clinton Reynolds,mwilcox@hotmail.com,,06-02-2024 18:14,Tyler,EMP2177,49,Yes,Deluxe,Yes,Spa,Medium
Wanda Brown,jessicamoore@barber.com,,18-04-2024 15:43,Kevin,EMP1065,44,No,Suite,No,Spa,High
Gary Peterson,aaron76@martin-mills.com,,10-10-2024 08:57,Donald,EMP3421,31,No,Suite,No,Spa,Low
Claudia Romero,richard02@hawkins.net,,03-02-2024 03:45,Michael,EMP1023,46,No,Deluxe,Yes,Pool,Low
Melanie Stewart,ujohnston@gmail.com,,24-02-2024 00:38,John,EMP5781,32,Yes,Standard,Yes,Gym,Low
Shannon Floyd,aprilmadden@reese-huber.info,,13-01-2024 15:00,David,EMP9921,37,Yes,Deluxe,No,Spa,High
Roberto Anderson,jasonwilliams@hobbs-nelson.com,,20-03-2024 13:47,James,EMP5940,76,Yes,Standard,Yes,Pool,Medium
Mrs. Andrea Hall,lawrencechristina@mckinney-ray.biz,,10-10-2024 15:54,Joshua,EMP7355,27,No,Suite,Yes,Pool,Low
Mark Gilbert,rossjeffery@sanders-rivers.biz,,14-04-2024 21:37,Tristan,EMP5149,65,Yes,Suite,No,Gym,Low
Jerry Miller,hwilliams@king.com,,15-10-2024 23:42,Cynthia,EMP2021,63,Yes,Deluxe,No,Gym,Medium
Mary Moore,rhartman@williams.biz,,12-09-2024 12:29,Jessica,EMP6062,44,Yes,Deluxe,Yes,Gym,High
Allison Hart,uryan@hawkins.com,,31-01-2024 03:19,Amanda,EMP7684,20,Yes,Suite,Yes,Gym,High
Yesenia Frazier,grayjasmine@boyd.biz,,19-06-2024 14:31,Michelle,EMP5222,36,Yes,Suite,Yes,Pool,High
Dr. Jeffrey Sullivan,taraowens@anderson.com,,24-11-2024 13:55,Bradley,EMP9784,26,Yes,Suite,No,Pool,Medium
Rebecca Obrien,rhondamata@gmail.com,,02-06-2024 09:51,Edward,EMP5561,79,No,Deluxe,No,Spa,High
Diana Beard,woneill@hotmail.com,,15-01-2024 07:51,Marcus,EMP9515,32,Yes,Suite,Yes,Spa,Medium
Diane Case,karendrake@ramos.net,,28-12-2023 11:05,Richard,EMP5918,53,Yes,Deluxe,No,Spa,Medium
Michael Oconnor,cmolina@hotmail.com,,20-02-2024 08:16,Megan,EMP1580,29,No,Deluxe,Yes,Pool,High
Timothy Howard,hansenjerry@gmail.com,,24-09-2024 11:33,Robin,EMP3972,39,Yes,Suite,Yes,Spa,Medium
John Duncan DDS,andrewerickson@hotmail.com,,30-12-2023 05:55,Nicole,EMP1845,29,Yes,Standard,Yes,Gym,Medium
John Brooks,frankjacobs@gmail.com,,29-01-2024 13:24,Robert,EMP2701,39,No,Suite,No,Gym,Medium
Jennifer Smith,odixon@gmail.com,,07-09-2024 14:53,Laura,EMP3388,75,No,Suite,Yes,Spa,Medium
Tanner Howard,lacosta@hotmail.com,,23-07-2024 00:04,Brandon,EMP3147,47,No,Suite,Yes,Spa,High
Douglas Perry,gparker@bell.com,,10-04-2024 16:54,Christian,EMP8703,75,No,Suite,Yes,Spa,High
Stephanie Patrick,molly16@kennedy.com,,04-02-2024 15:39,Nathan,EMP6162,23,No,Standard,No,Pool,Low
Emily Bartlett,oray@hotmail.com,,06-02-2024 11:58,Eric,EMP6302,31,Yes,Suite,No,Spa,Medium
Lance Andrews,rhonda93@hotmail.com,,09-07-2024 17:02,Brett,EMP3359,24,No,Standard,No,Pool,Medium
Heather Vazquez,jason28@gmail.com,,20-07-2024 14:57,Billy,EMP9887,73,No,Suite,Yes,Gym,Medium
Jennifer Howard,mike58@gmail.com,,10-06-2024 14:49,John,EMP9924,18,No,Deluxe,Yes,Gym,Low
Randy Kelley,xpace@moreno-cox.net,,17-05-2024 10:55,Connor,EMP6495,24,Yes,Deluxe,No,Pool,High
Sonya Kelly,sotobrittney@hotmail.com,,19-05-2024 00:13,Renee,EMP6041,24,Yes,Standard,No,Pool,Low
Matthew Mitchell,udodson@cameron-baker.info,,18-12-2023 10:02,Catherine,EMP6785,19,No,Suite,Yes,Gym,High
Kim Blevins,wendy44@ibarra.com,,22-02-2024 05:06,Erin,EMP5762,46,No,Standard,No,Spa,Medium
Christopher Ramirez,maria32@yahoo.com,,13-11-2024 01:29,Alexis,EMP9377,47,Yes,Deluxe,Yes,Pool,Low
Robert Le,ortegadaniel@gmail.com,,23-05-2024 21:38,Samantha,EMP7578,34,No,Suite,No,Gym,Medium
Anthony Friedman,kimberlyfox@cunningham.net,,03-07-2024 09:42,Angela,EMP4120,40,Yes,Standard,Yes,Pool,High
Sean Clark,ana86@kline.com,,22-03-2024 17:32,Julie,EMP2064,43,No,Suite,Yes,Spa,High
Daniel Clark,watersjasmin@yahoo.com,,04-11-2024 16:59,Jacob,EMP2033,57,Yes,Suite,Yes,Gym,Medium
Thomas Hayes,zhowell@jones-mathis.com,,22-03-2024 20:18,Robert,EMP3510,35,Yes,Suite,Yes,Pool,High
Kendra Williams,kathleen63@yahoo.com,,06-09-2024 05:27,Jeffrey,EMP5104,61,Yes,Standard,Yes,Gym,High
Jessica Harrison,floresjulia@gmail.com,,07-02-2024 08:15,Darren,EMP4937,73,No,Standard,Yes,Pool,High
Mark Robles,shannon00@yahoo.com,,16-03-2024 13:37,Robert,EMP9056,21,No,Standard,No,Gym,Medium
Kyle Nguyen,porterchristina@buckley.info,,11-01-2024 16:35,Dwayne,EMP6757,58,Yes,Suite,Yes,Pool,Medium
Cynthia Eaton,doliver@hotmail.com,,14-05-2024 06:57,Noah,EMP4129,59,No,Suite,No,Pool,High
Matthew Oliver,lisa55@chang-schroeder.info,,01-12-2024 12:18,Jonathan,EMP7405,48,No,Standard,No,Spa,Low
